combo_number,n_estimators,contamination,max_samples,max_features,precision,recall,f1
444,200,0.03,768,1.0,0.9466248037676609,0.6184615384615385,0.7481389578163772
832,400,0.1,128,1.0,0.8519003931847968,0.6666666666666666,0.7479861910241657
351,150,0.1,128,0.8,0.8546895640686922,0.6635897435897435,0.7471131639722863
82,50,0.03,512,1.0,0.9523052464228935,0.6143589743589744,0.7468827930174564
451,200,0.05,384,0.8,0.912332838038633,0.6297435897435898,0.7451456310679612
804,400,0.03,768,1.0,0.946031746031746,0.6112820512820513,0.7426791277258566
324,150,0.03,768,1.0,0.946031746031746,0.6112820512820513,0.7426791277258566
682,300,0.03,512,1.0,0.943127962085308,0.6123076923076923,0.7425373134328358
1171,1000,0.05,384,0.8,0.9130434782608695,0.6246153846153846,0.7417783191230207
461,200,0.07,256,0.8,0.8788732394366198,0.64,0.7406528189910979
564,250,0.03,768,1.0,0.9443561208267091,0.6092307692307692,0.7406483790523691
712,300,0.1,128,1.0,0.8497340425531915,0.6553846153846153,0.740011580775912
232,100,0.1,128,1.0,0.8456464379947229,0.6574358974358975,0.7397576457010964
803,400,0.03,768,0.8,0.9427662957074722,0.6082051282051282,0.7394014962593516
231,100,0.1,128,0.8,0.8502673796791443,0.6523076923076923,0.7382472431804992
112,50,0.1,128,1.0,0.8498659517426274,0.6502564102564102,0.73678094131319
592,250,0.1,128,1.0,0.8455392809587217,0.6512820512820513,0.7358053302433372
442,200,0.03,512,1.0,0.9437299035369775,0.602051282051282,0.7351283656856606
450,200,0.05,256,1.0,0.9145038167938931,0.6143589743589744,0.7349693251533742
562,250,0.03,512,1.0,0.9436392914653784,0.601025641025641,0.7343358395989975
1043,750,0.03,768,0.8,0.9436392914653784,0.601025641025641,0.7343358395989975
322,150,0.03,512,1.0,0.9421221864951769,0.601025641025641,0.7338760175328741
95,50,0.05,768,0.8,0.9115853658536586,0.6133333333333333,0.733292458614347
683,300,0.03,768,0.8,0.9420289855072463,0.6,0.7330827067669173
341,150,0.07,256,0.8,0.8829479768786127,0.6266666666666667,0.7330533893221356
809,400,0.05,256,0.8,0.9088145896656535,0.6133333333333333,0.7323943661971831
923,500,0.03,768,0.8,0.9433656957928802,0.597948717948718,0.7319522912743252
1163,1000,0.03,768,0.8,0.9448051948051948,0.5969230769230769,0.7316153362664991
90,50,0.05,256,1.0,0.9138461538461539,0.6092307692307692,0.7310769230769231
929,500,0.05,256,0.8,0.9111791730474732,0.6102564102564103,0.730958230958231
1050,750,0.05,256,1.0,0.9070121951219512,0.6102564102564103,0.7296137339055794
211,100,0.05,384,0.8,0.9044006069802731,0.6112820512820513,0.7294981640146879
810,400,0.05,256,1.0,0.9109062980030722,0.6082051282051282,0.7293972939729397
1170,1000,0.05,256,1.0,0.908256880733945,0.6092307692307692,0.7292817679558011
930,500,0.05,256,1.0,0.9093701996927803,0.6071794871794872,0.7281672816728167
690,300,0.05,256,1.0,0.9106317411402157,0.6061538461538462,0.7278325123152709
802,400,0.03,512,1.0,0.9413680781758957,0.5928205128205128,0.7275015733165513
819,400,0.07,128,0.8,0.8768115942028986,0.6205128205128205,0.7267267267267268
939,500,0.07,128,0.8,0.8802919708029197,0.6184615384615385,0.7265060240963855
681,300,0.03,512,0.8,0.9382113821138212,0.5917948717948718,0.7257861635220125
1049,750,0.05,256,0.8,0.9114906832298136,0.602051282051282,0.7251389746757257
570,250,0.05,256,1.0,0.9114906832298136,0.602051282051282,0.7251389746757257
569,250,0.05,256,0.8,0.9088098918083463,0.6030769230769231,0.7250308261405672
699,300,0.07,128,0.8,0.8705035971223022,0.6205128205128205,0.7245508982035929
689,300,0.05,256,0.8,0.9086687306501547,0.602051282051282,0.7242442936458976
579,250,0.07,128,0.8,0.8715728715728716,0.6194871794871795,0.7242206235011991
1169,1000,0.05,256,0.8,0.9096573208722741,0.598974358974359,0.7223252937538652
330,150,0.05,256,1.0,0.9109375,0.597948717948718,0.7219814241486068
111,50,0.1,128,0.8,0.8476454293628809,0.6276923076923077,0.7212728344136712
563,250,0.03,768,0.8,0.9436152570480929,0.5835897435897436,0.7211660329531052
922,500,0.03,512,1.0,0.9404958677685951,0.5835897435897436,0.720253164556962
1162,1000,0.03,512,1.0,0.9389438943894389,0.5835897435897436,0.7197975964579381
91,50,0.05,384,0.8,0.910377358490566,0.5938461538461538,0.7188081936685289
1042,750,0.03,512,1.0,0.9433333333333334,0.5805128205128205,0.7187301587301588
1041,750,0.03,512,0.8,0.9371900826446281,0.5815384615384616,0.7177215189873418
921,500,0.03,512,0.8,0.9370860927152318,0.5805128205128205,0.7169094363521216
1179,1000,0.07,128,0.8,0.8768545994065282,0.6061538461538462,0.7167980594299576
204,100,0.03,768,1.0,0.9415692821368948,0.5784615384615385,0.7166454891994918
801,400,0.03,512,0.8,0.9355371900826446,0.5805128205128205,0.7164556962025317
561,250,0.03,512,0.8,0.9369817578772802,0.5794871794871795,0.7160963244613435
84,50,0.03,768,1.0,0.9444444444444444,0.5753846153846154,0.7151051625239006
1059,750,0.07,128,0.8,0.8738872403560831,0.6041025641025641,0.7143723468768951
101,50,0.07,256,0.8,0.8808446455505279,0.598974358974359,0.7130647130647131
219,100,0.07,128,0.8,0.8770614692653673,0.6,0.7125456760048721
221,100,0.07,256,0.8,0.8781954887218045,0.598974358974359,0.7121951219512195
1180,1000,0.07,128,1.0,0.8733233979135618,0.601025641025641,0.7120291616038882
1161,1000,0.03,512,0.8,0.9379194630872483,0.5733333333333334,0.7116486314449395
1060,750,0.07,128,1.0,0.8731343283582089,0.6,0.7112462006079028
443,200,0.03,768,0.8,0.9408783783783784,0.5712820512820512,0.7109125717932355
339,150,0.07,128,0.8,0.8690476190476191,0.598974358974359,0.7091681845780207
210,100,0.05,256,1.0,0.909967845659164,0.5805128205128205,0.7088290544771446
940,500,0.07,128,1.0,0.8748114630467572,0.5948717948717949,0.7081807081807082
459,200,0.07,128,0.8,0.8651851851851852,0.598974358974359,0.7078787878787879
441,200,0.03,512,0.8,0.937394247038917,0.5682051282051283,0.7075351213282248
679,300,0.03,384,0.8,0.9370748299319728,0.5651282051282052,0.7050543825975688
99,50,0.07,128,0.8,0.877488514548239,0.5876923076923077,0.7039312039312039
80,50,0.03,384,1.0,0.9415807560137457,0.5620512820512821,0.703917790622993
100,50,0.07,128,1.0,0.8736681887366818,0.5887179487179487,0.7034313725490197
1190,1000,0.1,64,1.0,0.8446043165467626,0.602051282051282,0.7029940119760479
680,300,0.03,384,1.0,0.9352640545144804,0.563076923076923,0.7029449423815621
460,200,0.07,128,1.0,0.869894099848714,0.5897435897435898,0.7029339853300733
950,500,0.1,64,1.0,0.8421807747489239,0.602051282051282,0.7021531100478469
1070,750,0.1,64,1.0,0.839541547277937,0.601025641025641,0.7005379557680813
340,150,0.07,128,1.0,0.8728943338437979,0.5846153846153846,0.7002457002457002
110,50,0.1,64,1.0,0.8452554744525548,0.5938461538461538,0.6975903614457831
220,100,0.07,128,1.0,0.8721109399075501,0.5805128205128205,0.6970443349753694
800,400,0.03,384,1.0,0.9359861591695502,0.5548717948717948,0.6967160334835801
560,250,0.03,384,1.0,0.9328743545611016,0.5558974358974359,0.6966580976863753
323,150,0.03,768,0.8,0.9390243902439024,0.5528205128205128,0.6959328599096191
799,400,0.03,384,0.8,0.9327586206896552,0.5548717948717948,0.6958199356913183
820,400,0.07,128,1.0,0.8717156105100463,0.5784615384615385,0.6954377311960542
70,50,0.02,512,1.0,0.9688073394495413,0.5415384615384615,0.6947368421052632
202,100,0.03,512,1.0,0.9404553415061296,0.5507692307692308,0.6946959896507116
830,400,0.1,64,1.0,0.8376811594202899,0.5928205128205128,0.6942942942942943
559,250,0.03,384,0.8,0.9356521739130435,0.5517948717948717,0.6941935483870968
321,150,0.03,512,0.8,0.9340277777777778,0.5517948717948717,0.693745970341715
320,150,0.03,384,1.0,0.9355400696864111,0.5507692307692308,0.6933505487411233
920,500,0.03,384,1.0,0.9339130434782609,0.5507692307692308,0.6929032258064516
710,300,0.1,64,1.0,0.8372093023255814,0.5907692307692308,0.6927239927841251
449,200,0.05,256,0.8,0.9041322314049587,0.561025641025641,0.6924050632911393
919,500,0.03,384,0.8,0.9337979094076655,0.5497435897435897,0.6920593931568754
949,500,0.1,64,0.8,0.8369723435225619,0.5897435897435898,0.6919374247894103
1160,1000,0.03,384,1.0,0.9353146853146853,0.5487179487179488,0.691661279896574
1069,750,0.1,64,0.8,0.8379562043795621,0.5887179487179487,0.691566265060241
1189,1000,0.1,64,0.8,0.8374816983894583,0.5866666666666667,0.6899879372738239
230,100,0.1,64,1.0,0.8372434017595308,0.5856410256410256,0.6891973445986723
672,300,0.02,768,1.0,0.9631675874769797,0.5364102564102564,0.689064558629776
687,300,0.05,128,0.8,0.8963815789473685,0.558974358974359,0.6885660138976627
807,400,0.05,128,0.8,0.9033333333333333,0.5558974358974359,0.6882539682539682
700,300,0.07,128,1.0,0.8673946957878315,0.5702564102564103,0.6881188118811881
201,100,0.03,512,0.8,0.9284467713787086,0.5456410256410257,0.6873385012919897
567,250,0.05,128,0.8,0.8945634266886326,0.556923076923077,0.6864728192161821
912,500,0.02,768,1.0,0.9594843462246777,0.5343589743589744,0.686429512516469
